bag_number,shipped_at
B35HH0QKD3H,nil
B35HH0XEK7W,nil
B35HM0T9GFY,nil
B35HR0TAP5E,nil
B35HV0HQEPT,nil
B35J406TK2M,nil
B35J504HP2T,nil
B35J50DRWEC,nil
B35J60FRKCF,nil
B35JA0D2MBN,nil
B35JB02FVVV,nil
B35JD0RTTE3,nil
B35JG06FM99,nil
B35JH0VPFTC,nil
B35JT0W5YA9,nil
B35JW09N6VN,nil
B35K605QW2K,nil
B35KE0TCHYK,nil
B35KH05ARM4,nil
B35KJ0KQRPJ,nil
B35KN0B7VCG,nil
B35KT0AYEWG,nil
B35KY07XKDQ,nil
B35M40W4QXE,nil
B35M50DVN5Y,nil
B35M7073W2A,nil
B35MA07CM9K,nil
B35MF0A6TEM,nil
B35MK0J3HX9,nil
B35MM0B3XDD,nil
B35MT06JRJK,nil
B35MT0CGK9H,nil
B35MW0Y7AF5,nil
B35N50ACPGD,nil
B35N60JDT4C,nil
B35N90T22PW,nil
B35NB02GA4K,nil
B35NB0GAQ49,nil
B35NC0MBETP,nil
B35NE0WPBPJ,nil
B35NP0EWN97,nil
B35NY04RFTF,nil
B35P20C7NBC,nil
B35P307MDVQ,nil
B35P40GEWCV,nil
B35P40GTHYX,nil
B35P60VVM3P,nil
B35P70TH34H,nil
B35PA03TEYW,nil
B35PC0BWX4H,nil
B35PC0N4BRK,nil
B35PC0XCHHX,nil
B35PG0YKRBT,nil
B35PH0EWMMY,nil
B35PX03YWFA,nil
B35Q20XT7RW,nil
B35Q503Q94G,nil
B35Q70TXWGF,nil
B35QA0PX3VV,nil
B35QE0XR5V6,nil
B35QH0GX4T2,nil
B35QM03REMF,nil
B35QM0534T7,nil
B35QM0ENMFN,nil
B35QW0J762N,nil
B35R90QG7CN,nil
B35RB0D7V3K,nil
B35RB0JQFKE,nil
B35RC0AVAYT,nil
B35RD0KPDPT,nil
B35RK02HWC3,nil
B35RM0DR7EB,nil
B35RN05AVB2,nil
B35RP03YTT7,nil
B35RP0FYKTP,nil
B35RQ0A53YG,nil
B35T30BHNE4,nil
B35T40KC32M,nil
B35TC0NGR5P,nil
B35TF0RAFCQ,nil
B35TG0VP3Y7,nil
B35TR0PA9YW,nil
B35TR0VQWPA,nil
B35TV0N6M2K,nil
B35TY06AXXF,nil
B35V30NK2HH,nil
B35V70M3EFQ,nil
B35V90X36JM,nil
B35VA0DK7DN,nil
B35VD0NVV9R,nil
B35VE0YYNJR,nil
B35VF02JGWB,2024-09-23 23:30:00 UTC
B35VF0EHGXK,nil
B35VJ0RJKG6,nil
B35VK0QGVJ2,nil
B35VM04BV4C,nil
B35VP0QHTRX,nil
B35VR0YFVDF,nil
B35VT0G3GRV,nil
B35W60WACFM,nil
B35W90KB3EK,nil
B35WG0TKAPK,nil
B35WH0GQJE7,nil
B35WM09C2F5,nil
B35WM0F3CJE,nil
B35WP0MPC5V,nil
B35WV0F3GXG,nil
B35XE0CPQ75,nil
B35XE0WGWNC,nil
B35XH0FEGCY,nil
B35XJ05CHEW,nil
B35XJ07T2C9,nil
